"de_para";"valor";
"ELECTRONDICICO TREM";"compras";
"ELECTRONDONAJU";"compras";
"ELECTRONDROGARIA SA";"farmacia";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONPAG*galasso";"compras";
"ELECTRONPIZZA DELIG";"alimentação";
"ELECTRONR M SHIMABU";"compras";
"ELECTRONR M SHIMABU";"compras";
"ELECTRONR M SHIMABU";"compras";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"INT NEXTEL 9299999721677";"celular";
"INT NEXTEL 9999999721700";"celular";
"ELECTRONFURACAO DA";"compras";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONR M SHIMABU";"compras";
"SEGURO CARTAO";"banco";
"SALDO DO DIA";"saldo";
"INT  PAG TIT BANCO 033";"boleto";
"INT  PAG TIT BANCO 237";"boleto";
"ELECTRONDEPOSITO DO";"alimentação";
"ELECTRONFOTOMANIA";"compras";
"ELECTRONJOSEFA MARL";"compras";
