"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"compras";"08/03/2021";"ELECTRONFENIX";"9212";-53;53;0;01/03/2021
"alimentação";"08/03/2021";"ELECTRONLOUCADEMIA";"9212";-40;40;0;01/03/2021
"frango";"08/03/2021";"ELECTRONPAG*Frigott";"9212";-12,6;12,6;0;01/03/2021
"mercado";"08/03/2021";"ELECTRONSONDA JACAN";"9212";-97,49;97,49;0;01/03/2021
"mercado";"08/03/2021";"ELECTRONTRIMAIS II";"9212";-250,31;250,31;0;01/03/2021
"saldo";"08/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saldo";"09/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"banco";"10/03/2021";"SEGURO CARTAO";"9293";-6,61;6,61;0;01/03/2021
"saldo";"10/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"farmacia";"11/03/2021";"ELECTRONPROMOFARMA";"9212";-12,69;12,69;0;01/03/2021
"mercado";"11/03/2021";"ELECTRONTRIMAIS II";"9212";-65,21;65,21;0;01/03/2021
"mercado";"11/03/2021";"ELECTRONTRIMAIS II";"9212";-192,66;192,66;0;01/03/2021
"saldo";"11/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"celular";"12/03/2021";"INT NEXTEL 9299999684097";"4175";-51;51;0;01/03/2021
"celular";"12/03/2021";"INT NEXTEL 9899999684073";"4175";-85;85;0;01/03/2021
"seminario";"12/03/2021";"PIX TRANSF  IGREJA 12/03";"9136";-385,75;385,75;0;01/03/2021
"benção";"12/03/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/03/2021
"saldo";"12/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"padaria";"15/03/2021";"ELECTRONARIZONA PAE";"9212";-3,76;3,76;0;01/03/2021
"agua";"15/03/2021";"ELECTRONBD";"9212";-11;11;0;01/03/2021
"compras";"15/03/2021";"ELECTRONFERNANDA GO";"9212";-29;29;0;01/03/2021
"compras";"15/03/2021";"ELECTRONLOUCADEMIA";"9212";-60;60;0;01/03/2021
"mercado";"15/03/2021";"ELECTRONTRIMAIS II";"9212";-107,71;107,71;0;01/03/2021
"cartão de credito";"15/03/2021";"INT ITAUCARD";"4175";-3876,74;3876,74;0;01/03/2021
"salario";"15/03/2021";"PIX TRANSF  ANDRE N15/03";"9028";5392;0;5392;01/03/2021
"saldo";"15/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"igreja";"16/03/2021";"PIX TRANSF  IMW 3 R16/03";"9123";-539,2;539,2;0;01/03/2021
"saldo";"16/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"gasolina";"17/03/2021";"ELECTRONAUTO POSTO";"9212";-14,22;14,22;0;01/03/2021
"igreja";"17/03/2021";"ELECTRONBIBLIA CULT";"9212";-46;46;0;01/03/2021
"saldo";"17/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"farmacia";"18/03/2021";"ELECTRONDROGARIA PR";"9212";-23,99;23,99;0;01/03/2021
"saldo";"18/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"compras";"19/03/2021";"ELECTRONAUTOPASS";"9212";-4,4;4,4;0;01/03/2021
"alimentação";"19/03/2021";"ELECTRONLOJASMEL SA";"9212";-19,98;19,98;0;01/03/2021
"alimentação";"19/03/2021";"ELECTRONLOJASMEL SA";"9212";-32,97;32,97;0;01/03/2021
"saldo";"19/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
